road	Z1812
km	6.913
type	Baily with Steel Deck
lrpName	LRP007g
name	BATHCHARA
length	52
condition	A
structureNr	102999
est cost	0
roadName	Chimbuk-Ruma Road
chainage	6.913
width	3.5
constructionYear	1985
spans	2
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.08286111111111
lon	92.28144444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102999&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102999&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102999&vRoadID=353&vSurveyYear=2004&vSubdivID=285
