road	Z1812
km	16.701
type	Baily with Steel Deck
lrpName	LRP018k
name	KHONKONJIRI
length	15
condition	A
structureNr	103031
est cost	0
roadName	Chimbuk-Ruma Road
chainage	16.701
width	3.5
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.06116666666667
lon	92.34899999999999
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103031&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103031&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103031&vRoadID=353&vSurveyYear=2004&vSubdivID=285
