road	Z1812
km	7.172
type	Baily with Steel Deck
lrpName	LRP007k
name	BATH CHARA
length	16
condition	A
structureNr	103002
est cost	0
roadName	Chimbuk-Ruma Road
chainage	7.172
width	3.5
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.08261111111111
lon	92.28355555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103002&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103002&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103002&vRoadID=353&vSurveyYear=2004&vSubdivID=285
