road	Z1812
km	7.172
type	Baily with Steel Deck
lrpName	LRP007k
name	Dolionpara Bridge-6
length	15.1
condition	B
structureNr	121745
est cost	0.135
roadName	Chimbuk-Ruma Road
chainage	7.172
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.082890844186046
lon	92.28238049069768
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121745&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121745&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121745&vRoadID=353&vSurveyYear=2013&vSubdivID=285
