road	Z1812
km	16.783
type	Baily with Steel Deck
lrpName	LRP018m
name	KHONKONJIRI
length	15
condition	A
structureNr	103032
est cost	0
roadName	Chimbuk-Ruma Road
chainage	16.783
width	3.6
constructionYear	1980
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.06163888888889
lon	92.34955555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103032&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103032&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103032&vRoadID=353&vSurveyYear=2004&vSubdivID=285
