road	Z1812
km	7.042
type	Baily with Steel Deck
lrpName	LRP007i
name	BATH CHAR
length	20
condition	A
structureNr	103001
est cost	0
roadName	Chimbuk-Ruma Road
chainage	7.042
width	3.6
constructionYear	1980
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.083305555555555
lon	92.28308333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103001&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103001&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103001&vRoadID=353&vSurveyYear=2004&vSubdivID=285
