road	Z5046
km	0.973
type	Truss with Steel Deck
lrpName	LRPSb
name	Gazaria Bridge
length	70.96
condition	D
structureNr	118641
est cost	0.069
roadName	Ullahpara-Purnimagati-Taras Road
chainage	0.973
width	
constructionYear	
spans	
zone	Rajshahi
circle	Pabna
division	Sirajganj
sub-division	Ullapara
lat	24.3285827 
lon	89.5536944 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118641&vRoadID=578&vSurveyYear=2013&vSubdivID=314
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118641&vRoadID=578&vSurveyYear=2013&vSubdivID=314
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118641&vRoadID=578&vSurveyYear=2013&vSubdivID=314
