road	Z1629
km	5.981
type	Box Culvert
lrpName	LRP006f
name	DUMKHALI CULVERT
length	3.1
condition	C
structureNr	105027
est cost	1.05
roadName	Raozan-Noapara (Jalepara) Road
chainage	5.981
width	4.5
constructionYear	1993
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.490555555555556
lon	91.89377777777779
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105027&vRoadID=310&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105027&vRoadID=310&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105027&vRoadID=310&vSurveyYear=2004&vSubdivID=269
