road	Z1021
km	0.88
type	Baily with Steel Deck
lrpName	LRPSe
name	Amrabaria Bridge
length	6.3
condition	C
structureNr	121279
est cost	70
roadName	Mirsarai-Fatikchhari (Narayanhat) Road
chainage	0.88
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Sitakunda
lat	22.77620436296296
lon	91.57880271396012
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121279&vRoadID=299&vSurveyYear=2013&vSubdivID=271
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121279&vRoadID=299&vSurveyYear=2013&vSubdivID=271
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121279&vRoadID=299&vSurveyYear=2013&vSubdivID=271
