road	N3
km	107.465
type	Box Culvert
lrpName	LRP109b
name	DIGIR KANDA BOX CULVERT
length	1.5
condition	A
structureNr	101527
est cost	0
roadName	Dhaka (Banani)-Joydebpur-Mymensingh Road
chainage	107.465
width	9.6
constructionYear	1964
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.728277777777777
lon	90.40866666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101527&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101527&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101527&vRoadID=19&vSurveyYear=2004&vSubdivID=529
