road	N3
km	65.983
type	Box Culvert
lrpName	LRP066e
name	KATHALI BOX CULVERT
length	12.2
condition	A
structureNr	101485
est cost	0
roadName	Dhaka (Banani)-Joydebpur-Mymensingh Road
chainage	65.983
width	12.3
constructionYear	1965
spans	2
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.36938888888889
lon	90.37613888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101485&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101485&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101485&vRoadID=19&vSurveyYear=2004&vSubdivID=529
