road	Z3040
km	0.467
type	Box Culvert
lrpName	LRPSd
name	PAGOL PARA
length	7.2
condition	A
structureNr	106130
est cost	0
roadName	Nalitabari-Baruazani-Bagaitala-Haluaghat Road
chainage	0.467
width	6.1
constructionYear	1993
spans	2
zone	Mymensingh
circle	Jamalpur
division	Sherpur
sub-division	Sherpur-1
lat	25.122694444444445
lon	90.3358611111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106130&vRoadID=264&vSurveyYear=2004&vSubdivID=534
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106130&vRoadID=264&vSurveyYear=2004&vSubdivID=534
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106130&vRoadID=264&vSurveyYear=2004&vSubdivID=534
