road	N707
km	3.149
type	Arch Masonry
lrpName	LRP003h
name	.
length	2.5
condition	C
structureNr	108014
est cost	0.2
roadName	Jessore Town Old Section (Palbari-Daratana-Monihar-Murali)
chainage	3.149
width	9.5
constructionYear	1978
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	23.16444444444444
lon	89.2175
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108014&vRoadID=56&vSurveyYear=2004&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108014&vRoadID=56&vSurveyYear=2004&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108014&vRoadID=56&vSurveyYear=2004&vSubdivID=324
