road	Z1043
km	10.262
type	RCC Girder Bridge
lrpName	LRP010a
name	JAKRACHAR BRIDGE
length	6
condition	B
structureNr	102623
est cost	0.35
roadName	Bancharampur-Homna Road
chainage	10.262
width	3.8
constructionYear	1990
spans	1
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Bancharampur
lat	23.751722222222224
lon	90.79755555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102623&vRoadID=447&vSurveyYear=2004&vSubdivID=539
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102623&vRoadID=447&vSurveyYear=2004&vSubdivID=539
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102623&vRoadID=447&vSurveyYear=2004&vSubdivID=539
