road	Z1043
km	3.771
type	Box Culvert
lrpName	LRP003f
name	RHAKHA NAGAR SUBMACH
length	1
condition	A
structureNr	102549
est cost	0
roadName	Bancharampur-Homna Road
chainage	3.771
width	5.66
constructionYear	1992
spans	1
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Bancharampur
lat	23.70675
lon	90.77419444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102549&vRoadID=447&vSurveyYear=2004&vSubdivID=539
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102549&vRoadID=447&vSurveyYear=2004&vSubdivID=539
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102549&vRoadID=447&vSurveyYear=2004&vSubdivID=539
