index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,3266,112029.80067436566,10,7,1653.0
1,2189,80604.01036224524,10,7,5353.0
2,2696,163558.6981998719,10,7,2428.0
3,2133,214053.37723833162,10,7,3189.0
4,2350,23634.9047475651,10,7,1587.0
5,566,1457.2505197807811,10,7,674.0
6,2601,2840.50086066905,10,7,1324.0
7,1602,12005.398182300863,10,7,5543.0
8,248,4333.051451968822,10,7,2020.0
9,600,10089.424392198185,10,7,673.0
10,2384,23518.771799385388,10,7,1582.0
11,2764,32564.39118512613,10,7,2173.0
12,3119,2235.5566159415575,10,7,1040.0
13,2279,80057.97272429845,10,7,5334.0
14,250,4354.160941305385,10,7,2018.0
15,79,15479.78923187163,10,7,7172.0
16,2633,2829.3653881523687,10,7,1321.0
17,158,256202.2927179688,10,7,6852.0
18,3127,2242.8463216189134,10,7,1037.0
19,549,6983.1450360079225,10,7,3236.0
20,2639,2872.2985286065746,10,7,1320.0
21,612,44760.80170602293,10,7,671.0
22,2950,1739.8937379928884,10,7,814.0
23,3135,2246.387184222977,10,7,1036.0
24,262,30419.911907881396,10,7,2016.0
25,2645,19701.68106704495,10,7,1320.0
26,2386,59271.18212721299,10,7,1579.0
27,3143,2221.280165828909,10,7,1035.0
28,1731,526.4182154486494,10,7,238.0
29,2283,11480.085209830904,10,7,5323.0
30,2768,4682.656590204766,10,7,2171.0
31,2982,1756.1534031283531,10,7,812.0
32,2837,824.7996579611427,10,7,383.0
33,2301,79238.59132166974,10,7,5313.0
34,1761,506.5439150579582,10,7,238.0
35,1539,49427.36133273654,10,7,1298.0
36,2077,212193.9864199065,10,7,3147.0
37,298,30229.651373589524,10,7,2014.0
38,2677,2864.2243122199093,10,7,1317.0
39,1785,16310.364831118308,10,7,238.0
40,2394,23597.677326251272,10,7,1571.0
41,3239,2242.5133877256667,10,7,1033.0
42,2702,35724.05844732391,10,7,2401.0
43,1428,4643.960072377037,10,7,2166.0
44,2905,819.2443665473122,10,7,382.0
45,2708,161197.10873651438,10,7,2396.0
46,2462,23631.514758471814,10,7,1566.0
47,3058,54024.57148494774,10,7,806.0
48,408,4309.183983428442,10,7,2003.0
49,1458,4689.3509531416275,10,7,2159.0
50,2488,23409.921492288366,10,7,1561.0
51,1468,4665.533108991054,10,7,2157.0
52,2496,3353.2220075674327,10,7,1558.0
53,1789,16050.255141870943,10,7,237.0
54,2548,23489.079511809676,10,7,1557.0
55,2556,3351.620294830699,10,7,1554.0
56,786,44693.951296316394,10,7,664.0
57,1799,517.5273401323452,10,7,233.0
58,1807,15684.21897334836,10,7,233.0
59,844,9836.735486163945,10,7,657.0
60,886,43939.39343123855,10,7,654.0
61,1813,15561.570732133508,10,7,230.0
62,1823,15359.454051598741,10,7,227.0
63,892,43609.01211412342,10,7,649.0
64,1837,470.4023771497929,10,7,224.0
65,1861,483.8916000241096,10,7,222.0
66,1863,470.08099292314705,10,7,222.0
67,896,42813.82856704104,10,7,643.0
68,904,43151.32273074852,10,7,637.0
69,924,23557.070388267945,10,7,628.0
70,946,9385.398615537664,10,7,624.0
71,964,9333.978699773385,10,7,624.0
72,990,23569.08373848458,10,7,619.0
73,992,41587.12926320345,10,7,615.0
74,1126,9219.501983372726,10,7,610.0
75,1140,9123.041642941631,10,7,610.0
76,1156,9197.290118844496,10,7,609.0
77,1192,40881.010738063094,10,7,607.0
78,1244,40707.27173576687,10,7,601.0
0,21,269056.35277837917,6,7,7196.0
1,2211,11892.863139425712,6,7,5488.0
2,3083,2103.263210403813,6,7,980.0
3,2472,24858.32295145498,6,7,1653.0
4,1927,214085.95262211576,6,7,3173.0
5,3286,3466.2946280133947,6,7,1612.0
