index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,796,9145.056925849824,1,6,617.0
1,822,9279.89024211104,1,6,617.0
2,824,9317.998982718522,1,6,616.0
3,868,22261.16293987344,1,6,613.0
4,904,40959.15571746582,1,6,606.0
5,1020,22187.069426761507,1,6,596.0
6,1224,8939.399043829531,1,6,595.0
0,838,9828.734660332962,4,6,655.0
1,482,137649.34877844996,4,6,2031.0
2,880,24600.54333859842,4,6,652.0
3,904,43999.462383470505,4,6,650.0
4,924,24060.35982273901,4,6,639.0
5,1000,24109.995881974144,4,6,634.0
6,1014,9494.606603553875,4,6,628.0
7,1184,23569.756390391867,4,6,626.0
0,660,1473.6018558289413,8,6,685.0
1,790,25009.947122594782,8,6,679.0
2,844,10145.423533715177,8,6,677.0
3,880,24648.265513335962,8,6,674.0
4,1008,24849.342415682564,8,6,666.0
0,2792,79518.27645464975,9,6,2125.0
1,660,1399.938822164533,9,6,654.0
2,824,9794.934653951994,9,6,647.0
3,852,24345.90850410427,9,6,642.0
4,924,24249.866750708352,9,6,636.0
5,946,9516.153241342545,9,6,632.0
6,962,23458.11167494877,9,6,631.0
7,982,23581.161527938766,9,6,626.0
8,1014,9360.241460732605,9,6,621.0
9,1096,9355.507597948439,9,6,619.0
0,535,6750.893434564403,3,6,3124.0
1,790,25085.202387853413,3,6,668.0
2,794,9940.377464804624,3,6,664.0
3,904,45002.9469050073,3,6,661.0
0,2189,82123.7825577558,2,6,5462.0
1,2271,81498.03972571778,2,6,5446.0
2,2029,47675.2854979498,2,6,3188.0
3,824,9932.91975952143,2,6,669.0
4,838,9984.570140038284,2,6,667.0
5,844,10036.683220721563,2,6,666.0
6,858,9903.048674608699,2,6,664.0
7,904,44281.53599364417,2,6,663.0
8,964,9792.473923534084,2,6,656.0
9,1000,24365.03085982649,2,6,655.0
10,1014,9795.068249605765,2,6,652.0
0,2189,82254.82093287258,6,6,5483.0
1,660,1352.2439985895173,6,6,629.0
2,794,9370.082244046205,6,6,627.0
3,852,23591.43644461811,6,6,626.0
4,868,23469.217999602697,6,6,624.0
5,938,41895.93065730511,6,6,622.0
6,946,9351.368548967796,6,6,620.0
7,962,23165.182666444776,6,6,618.0
8,964,9180.22306772013,6,6,614.0
9,998,9226.290533448318,6,6,614.0
10,1140,9150.902197947295,6,6,613.0
0,2189,81696.90476160907,7,6,5451.0
1,513,47712.55569242723,7,6,3193.0
2,794,9828.280878048949,7,6,648.0
3,844,9719.830428006937,7,6,645.0
4,880,23809.108622657546,7,6,644.0
5,902,9635.047235092085,7,6,642.0
6,924,24775.40332183649,7,6,639.0
7,960,9499.1480425333,7,6,636.0
8,982,24125.837578687657,7,6,634.0
9,1224,9492.414865564882,7,6,628.0
10,1226,23286.415745272203,7,6,626.0
0,660,1354.4262911184464,10,6,621.0
1,902,9265.546770111661,10,6,612.0
2,982,22267.890364773273,10,6,609.0
3,1014,9041.913926532974,10,6,605.0
4,1106,9032.607935767111,10,6,604.0
5,1156,8982.014517584174,10,6,601.0
6,1184,22288.060125183056,10,6,599.0
7,1226,23069.859853367016,10,6,593.0
0,2189,83586.18497613167,5,6,5545.0
1,2587,2928.805775885919,5,6,1353.0
2,2702,36086.21536245454,5,6,2415.0
3,2420,23819.270376984765,5,6,1603.0
4,176,102464.94934083745,5,6,6828.0
5,794,9867.633399159176,5,6,649.0
6,822,9604.800287083557,5,6,645.0
7,852,23944.650862295322,5,6,643.0
8,1090,23177.17503365134,5,6,634.0
