id,caused_delay_time,replication,scenario,number_of_vehicles
904,39429.20330317666,2,3,595.0
1098,21391.704580166326,2,3,586.0
1106,8806.326797711086,2,3,583.0
2420,24189.30511142952,1,3,1598.0
852,25973.796363745492,1,3,675.0
868,24768.91011486946,1,3,672.0
982,25042.43847781967,1,3,665.0
1156,9867.007528862043,1,3,661.0
1092,9452.431333065988,3,3,635.0
2189,82296.51019465772,6,3,5470.0
1156,9670.824438610915,6,3,656.0
982,23885.116198883756,8,3,639.0
844,9905.128662139512,9,3,665.0
964,9834.256797388103,9,3,663.0
1014,9913.202585732764,10,3,662.0
