id,caused_delay_time,replication,scenario,number_of_vehicles
2420,24485.95328945022,1,4,1620.0
824,10180.409141760218,1,4,664.0
962,24493.387902789695,1,4,659.0
1096,9818.967401680424,1,4,656.0
2587,2865.0764476449576,2,4,1333.0
990,24365.4827938081,2,4,658.0
1020,24625.8592723681,2,4,656.0
660,1424.2528886671857,4,4,668.0
790,23696.745090579418,3,4,629.0
904,42284.84228059364,3,4,626.0
962,23484.528396522157,3,4,619.0
1106,9848.650417200111,5,4,663.0
1226,25231.144655757667,5,4,660.0
902,9766.369060509829,6,4,649.0
904,43226.705710877766,6,4,648.0
982,23788.432677295263,6,4,641.0
1098,23938.88901657144,6,4,633.0
1226,23580.665691437523,6,4,627.0
1106,9755.346609225637,8,4,654.0
1226,24338.628085918066,8,4,650.0
2420,24805.75446360563,7,4,1662.0
794,10200.049425574136,7,4,687.0
796,10178.576223816077,7,4,683.0
1226,25375.684763652032,7,4,673.0
868,24233.773526552057,9,4,652.0
946,9785.895124513096,9,4,650.0
964,9627.58678603726,9,4,650.0
2189,82242.7816441544,10,4,5470.0
852,25682.791027055693,10,4,668.0
904,45044.42339887845,10,4,666.0
946,10010.044469245486,10,4,663.0
982,24850.632825819666,10,4,662.0
1020,24744.44381144544,10,4,657.0
