road	R587
km	1.665
type	Slab Culvert
lrpName	LRP001c
name	.
length	1.4
condition	A
structureNr	109790
est cost	0
roadName	Thakurgaon Town Old Section (Bus Stand-Railway Station)
chainage	1.665
width	11.6
constructionYear	1986
spans	1
zone	Rangpur
circle	Dinajpur
division	Thakurgaon
sub-division	Thakurgaon
lat	26.03222222222222
lon	88.46222222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109790&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109790&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109790&vRoadID=137&vSurveyYear=2004&vSubdivID=298
