road	R587
km	0.856
type	Arch Masonry
lrpName	LRPSa
name	.
length	4
condition	A
structureNr	109780
est cost	0
roadName	Thakurgaon Town Old Section (Bus Stand-Railway Station)
chainage	0.856
width	13.33
constructionYear	1978
spans	2
zone	Rangpur
circle	Dinajpur
division	Thakurgaon
sub-division	Thakurgaon
lat	26.030277777777776
lon	88.47
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109780&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109780&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109780&vRoadID=137&vSurveyYear=2004&vSubdivID=298
