road	Z1632
km	0.345
type	Baily with Steel Deck
lrpName	LRPSa
name	PANCHARI
length	104.7
condition	A
structureNr	105135
est cost	0
roadName	Gourangapara-Panchhari Road
chainage	0.345
width	3.45
constructionYear	1991
spans	3
zone	Chittagong
circle	Khagrachari
division	Khagrachari
sub-division	Khagrachari-1
lat	23.290444444444447
lon	91.89930555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105135&vRoadID=363&vSurveyYear=2004&vSubdivID=564
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105135&vRoadID=363&vSurveyYear=2004&vSubdivID=564
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105135&vRoadID=363&vSurveyYear=2004&vSubdivID=564
