road	R770
km	40.468
type	Slab Culvert
lrpName	LRP039d
name	.
length	5.5
condition	A
structureNr	104297
est cost	0
roadName	Noapara-Bagerhat-Pirojpur Road
chainage	40.468
width	11.05
constructionYear	1997
spans	1
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-1
lat	22.570555555555554
lon	89.96611111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104297&vRoadID=159&vSurveyYear=2004&vSubdivID=319
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104297&vRoadID=159&vSurveyYear=2004&vSubdivID=319
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104297&vRoadID=159&vSurveyYear=2004&vSubdivID=319
