road	Z5034
km	1.25
type	Arch Masonry
lrpName	LRP001a
name	.
length	1.9
condition	C
structureNr	111223
est cost	0.8
roadName	Sherpur-Kaigari-Nandigram Road
chainage	1.25
width	4.55
constructionYear	1978
spans	1
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Sherpur (Bogra)
lat	24.66444444444444
lon	89.40527777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111223&vRoadID=648&vSurveyYear=2004&vSubdivID=292
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111223&vRoadID=648&vSurveyYear=2004&vSubdivID=292
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111223&vRoadID=648&vSurveyYear=2004&vSubdivID=292
