road	R210
km	0.949
type	RCC Girder Bridge
lrpName	LRPSb
name	Khatahar Bridge
length	39
condition	A
structureNr	119927
est cost	0
roadName	Shahepratap-Narsingdi Road
chainage	0.949
width	
constructionYear	
spans	
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.9121944 
lon	90.6968052 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119927&vRoadID=93&vSurveyYear=2013&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119927&vRoadID=93&vSurveyYear=2013&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119927&vRoadID=93&vSurveyYear=2013&vSubdivID=522
