road	N516
km	0.931
type	Box Culvert
lrpName	LRP001g
name	.
length	4.6
condition	A
structureNr	109886
est cost	0
roadName	Naogaon Town By-Pass Road
chainage	0.931
width	10.95
constructionYear	2001
spans	1
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.839166666666664
lon	88.92027777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109886&vRoadID=43&vSurveyYear=2004&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109886&vRoadID=43&vSurveyYear=2004&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109886&vRoadID=43&vSurveyYear=2004&vSubdivID=305
