road	N516
km	0.563
type	Box Culvert
lrpName	LRP001e
name	.
length	10.3
condition	A
structureNr	109882
est cost	0
roadName	Naogaon Town By-Pass Road
chainage	0.563
width	10.96
constructionYear	2001
spans	2
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.839166666666664
lon	88.91666666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109882&vRoadID=43&vSurveyYear=2004&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109882&vRoadID=43&vSurveyYear=2004&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109882&vRoadID=43&vSurveyYear=2004&vSubdivID=305
