road	R685
km	48.127
type	PC Girder Bridge
lrpName	LRP049d
name	Manda Bridge
length	155.7
condition	A
structureNr	118774
est cost	0
roadName	Rajshahi (Bindur More)-Nawhata-Chowmasia Road
chainage	48.127
width	
constructionYear	
spans	
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.773608310413884
lon	88.6988952777036
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118774&vRoadID=144&vSurveyYear=2013&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118774&vRoadID=144&vSurveyYear=2013&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118774&vRoadID=144&vSurveyYear=2013&vSubdivID=305
