road	R280
km	50.925
type	RCC Girder Bridge
lrpName	LRP051a
name	Sadarpur Bridge
length	62
condition	B
structureNr	119978
est cost	1.047
roadName	Sylhet-Sunamganj Road
chainage	50.925
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	24.9461108 
lon	91.3989441 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119978&vRoadID=101&vSurveyYear=2013&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119978&vRoadID=101&vSurveyYear=2013&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119978&vRoadID=101&vSurveyYear=2013&vSubdivID=557
