road	R280
km	0.485
type	RCC Bridge
lrpName	LRPSa
name	DASHAN DAURE
length	17.8
condition	A
structureNr	101581
est cost	0
roadName	Sylhet-Sunamganj Road
chainage	0.485
width	9.8
constructionYear	1990
spans	3
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Sylhet
lat	24.90588888888889
lon	91.86436111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101581&vRoadID=101&vSurveyYear=2004&vSubdivID=801
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101581&vRoadID=101&vSurveyYear=2004&vSubdivID=801
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101581&vRoadID=101&vSurveyYear=2004&vSubdivID=801
