road	R151
km	4.013
type	Steel Beam & RCC Slab
lrpName	LRP004c
name	Lakshmi chara Bridge
length	15.42
condition	D
structureNr	121366
est cost	150
roadName	Baraiyerhat-Karerhat-Heako-Narayanhat-Fatikchhari (Haidchokia) Road
chainage	4.013
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Sitakunda
lat	22.9238604 
lon	91.5513889 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121366&vRoadID=79&vSurveyYear=2013&vSubdivID=271
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121366&vRoadID=79&vSurveyYear=2013&vSubdivID=271
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121366&vRoadID=79&vSurveyYear=2013&vSubdivID=271
