road	N309
km	0.93
type	Box Culvert
lrpName	LRPSd
name	KEYAT KHALI BOX CULVERT
length	3
condition	A
structureNr	107537
est cost	0
roadName	Mymensingh Town By-Pass Road
chainage	0.93
width	12.2
constructionYear	1999
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Mymensingh
lat	24.733972222222224
lon	90.41875
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107537&vRoadID=22&vSurveyYear=2004&vSubdivID=530
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107537&vRoadID=22&vSurveyYear=2004&vSubdivID=530
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107537&vRoadID=22&vSurveyYear=2004&vSubdivID=530
