road	Z2123
km	0.66
type	Box Culvert
lrpName	LRPSd
name	.
length	2.6
condition	A
structureNr	115086
est cost	0
roadName	Monohardi (Kachikata)-Urulia-Bajitpur (Barachapa) Road
chainage	0.66
width	3.64
constructionYear	1995
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.16788888888889
lon	90.75286111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115086&vRoadID=221&vSurveyYear=2006&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115086&vRoadID=221&vSurveyYear=2006&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115086&vRoadID=221&vSurveyYear=2006&vSubdivID=523
