road	Z1089
km	5.375
type	Box Culvert
lrpName	LRP005d
name	PACHACOLA CULVERT
length	6
condition	C
structureNr	113597
est cost	0.52
roadName	Mograpara-Anandabazar Road
chainage	5.375
width	7.3
constructionYear	1996
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Vitikandi
lat	23.668305555555555
lon	90.6278611111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113597&vRoadID=223&vSurveyYear=2004&vSubdivID=521
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113597&vRoadID=223&vSurveyYear=2004&vSubdivID=521
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113597&vRoadID=223&vSurveyYear=2004&vSubdivID=521
