Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N1-42,Int.withZ1070-Mansertek(Int.withN107),LRP259,726,255.725,LRP259,1902,1810,256.809,1.084,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115
N1-43,Mansertek(Int.withN107)-Patiya(Int.withZ1059),LRP259,1810,256.809,LRP264,1902,3734,263.744,6.935,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115
N1-44,Patiya(Int.withZ1059)-PatiyaDakbanglo(Int.withZ1057),LRP264,3734,263.744,LRP264,2087,4060,264.07,0.326,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
N1-45,PatiyaDakbanglo(Int.withZ1057)-Patiya(Int.withZ1039),LRP264,4060,264.07,LRP264,2087,5400,265.41,1.34,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
N1-46,Patiya(Int.withZ1039)-KhanhatInt.withZ1026,LRP264,5400,265.41,LRP277,2087,1763,274.982,9.572,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
N1-47,KhanhatInt.withZ1026-HashimpurZ1036,LRP277,1763,274.982,LRP281,2046,700,278.013,3.031,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
N1-48,HashimpurZ1036-KeranirhatN108,LRP281,700,278.013,LRP291,2046,2558,289.612,11.599,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
N1-49,KeranirhatN108-Int.withZ1019,LRP291,2558,289.612,LRP291,2046,2920,289.974,0.362,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
N1-50,Int.withZ1019-Lohagara BaraAulia(Int.withZ1013),LRP291,2920,289.974,LRP299,2046,2769,297.441,7.467,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
N1-51,Lohagara BaraAulia(Int.withZ1013)-ChunatiR171,LRP299,2769,297.441,LRP312,3621,171,307.582,10.141,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
N1-52,ChunatiR171-AziznagarZ1007,LRP312,171,307.582,LRP320,3621,308,315.728,8.146,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
N1-53,Aziznagar(Int.withZ1007)-Harbang(Int.withZ1124),LRP320,308,315.728,LRP321,3621,63,316.356,0.628,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
N1-54,Harbang(Int.withZ1124)-EkatabazarZ1125,LRP321,63,316.356,LRP328,3621,485,323.842,7.486,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
N1-55,EkatabazarZ1125-BaraitaliInt.withZ1002,LRP328,485,323.842,LRP331,1067,844,327.188,3.346,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
N1-56,BaraitaliInt.withZ1002-Int.withZ1126,LRP331,844,327.188,LRP335,1067,500,330.874,3.686,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
N1-57,Int.withZ1126-Janatabazar(Int.withZ1127),LRP335,500,330.874,LRP336,1067,764,332.066,1.192,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
N1-58,Janatabazar(Int.withZ1127)-ChokoriaR172,LRP336,764,332.066,LRP336,1067,1575,332.877,0.811,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
N1-59,ChokoriaR172-FaishakhaliZ1005,LRP336,1575,332.877,LRP341,1597,852,337.31,4.433,39,1009,549,784,238,1018,165,318,2511,1443,428,4183,0,8074,4611,12685
N1-60,FaishakhaliZ1005-DulahazraZ1130,LRP341,852,337.31,LRP348,789,96,343.559,6.249,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
N1-61,DulahazraZ1130-KhutakhaliZ1131,LRP348,96,343.559,LRP354,789,509,350.054,6.495,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
N1-62,KhutakhaliZ1131-Ramu(Int.withZ1001),LRP354,509,350.054,LRP376,789,57,370.982,20.928,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
N1-63,Ramu(Int.withZ1001)-RamuIntersectionN109,LRP376,57,370.982,LRP378,789,593,373.475,2.493,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
N1-64,RamuIntersectionN109-CoxsbazarLinkRoadN110,LRP378,593,373.475,LRP386,789,724,381.481,8.006,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
N1-65,CoxsbazarLinkRoadN110-MarichaZ1009,LRP386,724,381.481,LRP403,616,217,398.205,16.724,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
N1-66,MarichaZ1009-UkhiaDakbangloZ1503,LRP403,217,398.205,LRP413,616,300,408.434,10.229,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
