Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N106-9,Manikchhari(Int.withR162)-Rangamati,LRP059,566,57.303,LRPE,219,0,66.85,9.547,0,92,127,56,104,103,83,35,904,471,0,0,0,1975,0,1975
N105-1,Madanpur(13thkmofN1)-Nayapur Bostail(Int.withR114),LRPS,0,0,LRP006,4999,181,6.309,6.309,338,3887,774,98,131,793,294,619,5625,552,145,1648,0,13111,1793,14904
N105-2,Nayapur Bostail(Int.withR114)-Bhulta(Int.withN2),LRP006,181,6.309,LRP012,5170,546,12.803,6.494,245,3444,1481,20,0,1159,102,954,2332,659,180,1011,0,10396,1191,11587
N105-3,Bhulta(Int.withN2)-PurbachalRoad,LRP012,546,12.803,LRP020d,6075,0,21.221,8.418,223,4762,1090,60,19,944,101,1275,2563,484,64,249,0,11521,313,11834
N105-4,PurbachalRoad-Ulukhola(Int.withZ3010),LRP020d,0,21.221,LRP028,5190,895,28.61,7.389,320,3715,1155,1,0,928,102,804,1144,622,102,363,0,8791,465,9256
N105-5,Ulukhola(Int.withZ3010)-MirerBazar(Int.withR301),LRP028,895,28.61,LRP035,5190,1289,36.158,7.548,320,3715,1155,1,0,928,102,804,1144,622,102,363,0,8791,465,9256
N105-6,MirerBazar(Int.withR301)-VograBypass(Int.withN3),LRP035,1289,36.158,LRP045,5190,1118,45.998,9.84,320,3715,1155,1,0,928,102,804,1144,622,102,363,0,8791,465,9256
N105-7,VograBypass(Int.withN3)-EndofRoad(Int.withN4),LRP045,1118,45.998,LRPE,5216,0,48.881,2.883,328,3092,1796,351,309,1381,181,1240,1243,452,149,1353,0,10373,1502,11875
N102-1,Mainamati-Kangsanagar(IntersectionwithZ1219),LRPS,0,0,LRP009,1737,1110,10.206,10.206,231,1170,336,285,197,224,421,164,5450,621,196,413,0,9099,609,9708
N102-2,Kangsanagar(IntwithZ1219)-Debidduar(IntwithZ1008),LRP009,1110,10.206,LRP018,1737,2570,20.658,10.452,231,1170,336,285,197,224,421,164,5450,621,196,413,0,9099,609,9708
N102-3,Debiduar(IntwithZ1008)-Companiganj(IntwithZ1205),LRP018,2570,20.658,LRP024,1737,1242,25.473,4.815,231,1170,336,285,197,224,421,164,5450,621,196,413,0,9099,609,9708
N102-4,Companiganj(IntwithZ1205)-Mirpur(IntwithZ1041),LRP024,1242,25.473,LRP038,1761,408,38.866,13.393,346,840,575,457,46,436,107,231,2525,483,124,507,0,6046,631,6677
N102-5,Mirpur(IntwithZ1041)-Kuti(IntwithZ1201),LRP038,408,38.866,LRP042,1761,1928,44.427,5.561,346,840,575,457,46,436,107,231,2525,483,124,507,0,6046,631,6677
N102-6,Kuti(IntwithZ1201)-Dharkhar(IntwithZ1202),LRP042,1928,44.427,LRP055,1761,1143,56.883,12.456,346,840,575,457,46,436,107,231,2525,483,124,507,0,6046,631,6677
N102-7,Dharkhar(IntwithZ1202)-Sultanpur(IntwithZ1216),LRP055,1143,56.883,LRP062,1761,169,63.061,6.178,346,840,575,457,46,436,107,231,2525,483,124,507,0,6046,631,6677
N102-8,Sultanpur(IntwithZ1216)-Kuatali(Int.withN103),LRP062,169,63.061,LRP070,2602,419,71.456,8.395,98,1352,1152,718,189,874,177,512,5591,858,209,1041,0,11521,1250,12771
N102-9,Kuatali(Int.withN103)-Gathuria(Int.withN103),LRP070,419,71.456,LRP070,2602,6234,77.271,5.815,98,1352,1152,718,189,874,177,512,5591,858,209,1041,0,11521,1250,12771
N102-10,Gathuria(Int.withN103)-Sarail(Kathihat int.withN2),LRP070,6234,77.271,LRPE,2602,0,83.382,6.111,98,1352,1152,718,189,874,177,512,5591,858,209,1041,0,11521,1250,12771
N204-1,Jagadishpur-Chunarughat(Int.withZ2008),LRPS,0,0,LRP022,366,5439,25.449,25.449,0,176,190,31,38,204,43,92,1119,378,127,230,0,2271,357,2628
N204-2,Chunarughat(Int.withZ2008)-Shaisthaganj,LRP022,5439,25.449,LRPE,366,0,34.421,8.972,0,176,190,31,38,204,43,92,1119,378,127,230,0,2271,357,2628
N207-1,Mirpur-NatunBazar(Int.withZ2008),LRPS,0,0,LRP001,766,1990,2.99,2.99,31,423,312,198,142,323,162,386,2594,467,141,150,0,5038,291,5329
N207-2,NatunBazar(Int.withZ2008)-Srimongal(Int.withZ2003),LRP001,1990,2.99,LRP024,766,464,24.319,21.329,31,423,312,198,142,323,162,386,2594,467,141,150,0,5038,291,5329
N207-3,Srimongal(Int.withZ2003)-Moulvibazar(Int.withN208),LRP024,464,24.319,LRP043,766,12,42.917,18.598,31,423,312,198,142,323,162,386,2594,467,141,150,0,5038,291,5329
N207-4,Moulvibazar(Int.withN208)-Sherpur,LRP043,12,42.917,LRPE,766,0,67.985,25.068,31,423,312,198,142,323,162,386,2594,467,141,150,0,5038,291,5329
N208-1,Moulvibazar-Int.withZ2002,LRPS,0,0,LRPS,964,3190,3.19,3.19,15,453,496,54,732,557,149,741,3194,1123,147,486,0,7514,633,8147
N208-2,Int.withZ2002-Rajnagar(Int.withR281),LRPS,3190,3.19,LRP012,964,1661,13.461,10.271,15,453,496,54,732,557,149,741,3194,1123,147,486,0,7514,633,8147
N208-3,Rajnagar(Int.withR281)-Daudabad(Int.withZ2832),LRP012,1661,13.461,LRP052,920,385,51.05,37.589,0,588,332,0,179,525,78,811,2233,582,88,73,0,5328,161,5489
N208-4,Daudabad(Int.withZ2832)-RoyalCityChottor(int.withN210),LRP052,385,51.05,LRP054,920,677,53.342,2.292,0,588,332,0,179,525,78,811,2233,582,88,73,0,5328,161,5489
N208-5,RoyalCityChottor(int.withN210)-Int.withN2,LRP054,677,53.342,LRP058,2191,900,57.495,4.153,39,1324,828,76,1106,1055,77,778,2974,1231,695,822,47,9488,1564,11052
N210-1,KhadimnagarBypassMore(Int.withN2)-Int.withR250,LRPS,0,0,LRP007,1530,1075,7.045,7.045,1,499,1030,1134,1805,1694,225,936,4844,1243,369,5282,74,13411,5725,19136
N210-2,Int.withR250-Int.WithN208atRoyalCityChottor,LRP007,1075,7.045,LRPE,1530,0,10.844,3.799,1,499,1030,1134,1805,1694,225,936,4844,1243,369,5282,74,13411,5725,19136
