road	R558
km	0.123
type	Box Culvert
lrpName	LRPSa
name	.
length	3.55
condition	A
structureNr	109669
est cost	0
roadName	Maheshpur at R556 to Barapukuria Road
chainage	0.123
width	9.65
constructionYear	2000
spans	1
zone	Rangpur
circle	Dinajpur
division	Dinajpur
sub-division	Dinajpur
lat	25.515555555555554
lon	88.98055555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109669&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109669&vRoadID=133&vSurveyYear=2004&vSubdivID=296
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109669&vRoadID=133&vSurveyYear=2004&vSubdivID=296
