road	N107
km	0.382
type	PC Girder Bridge
lrpName	LRPSc
name	KALURGHAT 2
length	24
condition	B
structureNr	111582
est cost	0.6
roadName	Kalurghat-Maneswartek Road
chainage	0.382
width	9.3
constructionYear	1989
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.39238888888889
lon	91.89330555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111582&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111582&vRoadID=7&vSurveyYear=2004&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111582&vRoadID=7&vSurveyYear=2004&vSubdivID=281
