road	R314
km	28.57
type	RCC Girder Bridge
lrpName	LRP029b
name	ALAMIN BALAR GOFAR
length	6.4
condition	C
structureNr	101660
est cost	0.3
roadName	Gafargaon-Bormi-Mawna Road
chainage	28.57
width	3.4
constructionYear	1978
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.341388888888886
lon	90.57822222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101660&vRoadID=111&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101660&vRoadID=111&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101660&vRoadID=111&vSurveyYear=2004&vSubdivID=529
