road	R314
km	14.352
type	RCC Girder Bridge
lrpName	LRP014f
name	BORKUL BRIDGE(2)
length	29
condition	B
structureNr	101637
est cost	0.32
roadName	Gafargaon-Bormi-Mawna Road
chainage	14.352
width	5.25
constructionYear	2001
spans	3
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.26372222222222
lon	90.51983333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101637&vRoadID=111&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101637&vRoadID=111&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101637&vRoadID=111&vSurveyYear=2004&vSubdivID=529
