road	R163
km	0.946
type	RCC Girder Bridge
lrpName	LRPSc
name	GOLAPER DOKAN
length	4.4
condition	C
structureNr	106873
est cost	0.3
roadName	Chittagong (Mohara)-Chandragona Road
chainage	0.946
width	7.6
constructionYear	1968
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Chittagong
lat	22.40233333333333
lon	91.86747222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106873&vRoadID=84&vSurveyYear=2004&vSubdivID=269
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106873&vRoadID=84&vSurveyYear=2004&vSubdivID=269
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106873&vRoadID=84&vSurveyYear=2004&vSubdivID=269
