road	Z2045
km	0.52
type	Slab Culvert
lrpName	LRPSc
name	NUR PARA
length	1.5
condition	A
structureNr	112989
est cost	0
roadName	Panchdona (Asmandir Char)-Charsindur (Dulalpur) Road
chainage	0.52
width	12.3
constructionYear	2000
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.913527777777777
lon	90.668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112989&vRoadID=207&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112989&vRoadID=207&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112989&vRoadID=207&vSurveyYear=2004&vSubdivID=522
