road	Z1026
km	4.997
type	Baily with Steel Deck
lrpName	LRP004i
name	DOPCHARI 2
length	15
condition	A
structureNr	104215
est cost	0
roadName	Khanahat-Dopchhari-Bandarban (Dulupar) Road
chainage	4.997
width	3.5
constructionYear	1979
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.224444444444444
lon	92.07291666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104215&vRoadID=325&vSurveyYear=2004&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104215&vRoadID=325&vSurveyYear=2004&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104215&vRoadID=325&vSurveyYear=2004&vSubdivID=280
