road	R548
km	6.969
type	Box Culvert
lrpName	LRP007e
name	.
length	3.6
condition	A
structureNr	100740
est cost	0
roadName	Naogaon-Atrai-Natore Road
chainage	6.969
width	7.3
constructionYear	1990
spans	1
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.745555555555555
lon	88.96194444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100740&vRoadID=127&vSurveyYear=2004&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100740&vRoadID=127&vSurveyYear=2004&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100740&vRoadID=127&vSurveyYear=2004&vSubdivID=305
