road	R747
km	0.422
type	Slab Culvert
lrpName	LRPSa
name	.
length	1.68
condition	D
structureNr	103372
est cost	5.5
roadName	Kushtia (Bottoli)-Poradah-Alamdanga-Chuadanga Road
chainage	0.422
width	7.3
constructionYear	1980
spans	1
zone	Khulna
circle	Jessore
division	Kushtia
sub-division	Kushtia
lat	23.879722222222224
lon	89.08805555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103372&vRoadID=153&vSurveyYear=2004&vSubdivID=327
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103372&vRoadID=153&vSurveyYear=2004&vSubdivID=327
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103372&vRoadID=153&vSurveyYear=2004&vSubdivID=327
