index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,254,42498.45148017453,1,6,2832
1,155,42333.62400846691,1,6,2821
2,263,84822.98058144278,2,6,5648
3,252,84772.72065863108,2,6,5644
4,244,84666.6832424364,2,6,5637
5,49,83574.61162925202,2,6,5566
6,362,169503.2597264591,3,6,7052
7,280,169113.47601444216,3,6,7039
8,259,168919.80251189577,3,6,7031
9,246,168735.9579135871,3,6,7024
10,42,166889.81510445682,3,6,6938
11,263,220129.8638651148,4,6,8434
12,261,220076.47382528643,4,6,8431
13,254,220022.40769014764,4,6,8427
14,237,219908.80335339392,4,6,8418
15,117,218274.72004298138,4,6,8339
16,41,216766.99489894812,4,6,8278
17,273,179940.65779846744,5,6,5635
18,233,179514.17900844707,5,6,5625
19,209,179385.24660084644,5,6,5618
20,117,177786.7111743941,5,6,5567
21,466,137347.92053445178,6,6,7064
22,263,137083.20439581465,6,6,7047
23,227,136959.01838133423,6,6,7039
24,155,136445.78355413975,6,6,7008
25,45,135533.23594750935,6,6,6947
26,362,201671.39600179117,7,6,7061
27,280,201071.95367741224,7,6,7046
28,261,200892.41519538447,7,6,7040
29,237,200655.71149262594,7,6,7027
30,209,199919.55003659794,7,6,6996
31,275,147258.90612256216,8,6,5658
32,273,147246.75376559756,8,6,5656
33,237,146968.7915294698,8,6,5644
34,233,146451.4549430524,8,6,5626
35,41,53114.90970937587,9,6,1401
36,261,94611.73406736876,10,6,4234
37,218,94531.940398362,10,6,4229
38,42,93933.81303774245,10,6,4188
