index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,476,248687.81091904303,1,7,14105
1,422,248615.96910301322,1,7,14100
2,392,248527.0824145862,1,7,14094
3,378,248325.51042957592,1,7,14082
4,371,248329.11899221985,1,7,14081
5,289,247585.5345149809,1,7,14022
6,275,247480.38450823142,1,7,14013
7,193,246975.57768347103,1,7,13961
8,79,243334.5626836042,1,7,13753
9,20,242095.8038784566,1,7,13680
10,437,494841.26484274655,2,7,23543
11,415,494506.62398954364,2,7,23536
12,392,494355.3315524524,2,7,23532
13,277,493486.08290619345,2,7,23494
14,266,493399.68099006603,2,7,23488
15,261,493167.84556994744,2,7,23475
16,259,492890.30004002457,2,7,23459
17,242,492247.7361846923,2,7,23423
18,192,491480.51151001424,2,7,23375
19,188,490613.76465469645,2,7,23325
20,148,489830.13348684943,2,7,23274
21,121,488543.8727823901,2,7,23193
22,117,486188.04495516757,2,7,23081
23,85,483521.82493081124,2,7,22962
24,79,483379.9638191296,2,7,22951
25,49,482100.8489716279,2,7,22887
26,39,481307.15111536003,2,7,22850
27,471,431536.68084397574,3,7,19342
28,387,430669.5722328393,3,7,19329
29,386,430698.6175439452,3,7,19328
30,384,428743.2215726599,3,7,19285
31,376,428109.79221317987,3,7,19272
32,362,427463.4969088001,3,7,19253
33,292,425203.6245495173,3,7,19188
34,259,423971.99247901386,3,7,19156
35,216,422558.50746460166,3,7,19109
36,144,419854.28344280145,3,7,19016
37,109,416774.84279062925,3,7,18908
38,76,415660.65204333817,3,7,18866
39,75,415606.6188333463,3,7,18861
40,52,414000.1729439781,3,7,18790
41,473,541135.8197514177,4,7,16619
42,401,540004.7222871858,4,7,16604
43,344,539395.3925693199,4,7,16592
44,341,539047.6782683822,4,7,16580
45,338,538753.8457684886,4,7,16572
46,244,537166.6737327114,4,7,16507
47,144,535347.1055536859,4,7,16431
48,102,533702.5387920686,4,7,16369
49,76,530572.5239812834,4,7,16262
50,65,530463.4871530845,4,7,16257
51,62,529184.4041859074,4,7,16215
52,41,525997.6835033268,4,7,16109
53,466,282194.35804924974,5,7,19647
54,437,282170.33524054295,5,7,19643
55,434,281584.5758883562,5,7,19624
56,412,281477.5194305456,5,7,19620
57,394,281428.42900242645,5,7,19614
58,261,280717.2304120641,5,7,19551
59,259,280368.1081188126,5,7,19527
60,227,279969.55530794425,5,7,19496
61,220,279538.4265533757,5,7,19465
62,214,279486.80854081473,5,7,19452
63,202,278506.40161241585,5,7,19381
64,144,277674.1346847564,5,7,19318
65,50,274288.0414770505,5,7,19103
66,20,273832.921166455,5,7,19065
67,439,297940.603434522,6,7,12676
68,419,297580.8630413673,6,7,12668
69,414,297424.77851538785,6,7,12662
70,401,297193.26110655797,6,7,12651
71,389,296957.9824821649,6,7,12637
72,296,295068.3385094264,6,7,12560
73,216,294396.4417132164,6,7,12532
74,198,293875.0943618393,6,7,12504
75,117,290553.1716138317,6,7,12348
76,496,235640.1175297232,7,7,18356
77,447,235632.7039345319,7,7,18353
78,432,235636.97079404228,7,7,18350
79,428,235590.86351667432,7,7,18344
80,406,235545.90737491281,7,7,18337
81,393,235524.33291645575,7,7,18332
82,296,235285.9295752112,7,7,18279
83,273,235228.99350742676,7,7,18261
84,257,234972.26960452192,7,7,18219
85,227,232942.6980702122,7,7,18072
86,148,231217.38645833475,7,7,17966
87,85,229444.23230708268,7,7,17855
88,52,229111.3764844081,7,7,17822
89,492,382900.3401214938,8,7,16755
90,452,382589.07904048247,8,7,16747
91,415,382484.1193224172,8,7,16743
92,405,382198.7921829207,8,7,16733
93,244,381244.4758567608,8,7,16685
94,237,381050.6357977636,8,7,16669
95,227,379899.5152226153,8,7,16613
96,195,379262.05669879745,8,7,16574
97,164,376202.3075827721,8,7,16453
98,155,375919.32285251864,8,7,16443
99,73,372896.7768788292,8,7,16306
100,20,369447.551674355,8,7,16167
101,481,486295.1058630662,9,7,19628
102,479,486312.2778928398,9,7,19628
103,470,486234.75030168594,9,7,19619
104,466,486117.6539585933,9,7,19608
105,437,485942.4642417428,9,7,19588
106,434,485124.3732823893,9,7,19547
107,367,484883.93442858063,9,7,19525
108,342,484347.74594074365,9,7,19487
109,248,482969.4344322222,9,7,19395
110,198,482162.2741093182,9,7,19338
111,193,480963.27193512936,9,7,19264
112,117,476489.0658790769,9,7,19053
113,45,472529.5771145855,9,7,18894
114,39,471354.3213090968,9,7,18840
115,428,288527.2644508105,10,7,8394
116,390,288587.0172872856,10,7,8392
117,205,286795.21049989696,10,7,8340
118,148,284430.2325442959,10,7,8287
119,117,283596.003898214,10,7,8264
120,18,280916.47928405413,10,7,8198
