road	R360
km	113.707
type	Box Culvert
lrpName	LRP113b
name	SHOMO PUR BOX CULVERT
length	3.05
condition	D
structureNr	104709
est cost	1.05
roadName	Mymensingh (Raghurampur)-Kishoreganj (Battali)-Bhairab (Bazar) Road
chainage	113.707
width	12.2
constructionYear	1997
spans	1
zone	Mymensingh
circle	Mymensingh
division	Kishoreganj
sub-division	Bhairab
lat	24.07063888888889
lon	90.9683888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104709&vRoadID=113&vSurveyYear=2004&vSubdivID=526
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104709&vRoadID=113&vSurveyYear=2004&vSubdivID=526
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104709&vRoadID=113&vSurveyYear=2004&vSubdivID=526
