road	N6
km	95.093
type	Box Culvert
lrpName	LRP094a
name	.
length	17.2
condition	A
structureNr	102152
est cost	0
roadName	Kashinathpur-Dasuria-Natore-Rajshahi Road
chainage	95.093
width	14.47
constructionYear	1987
spans	3
zone	Rajshahi
circle	Pabna
division	Natore
sub-division	Natore-2
lat	24.379166666666666
lon	89.04194444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102152&vRoadID=46&vSurveyYear=2004&vSubdivID=316
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102152&vRoadID=46&vSurveyYear=2004&vSubdivID=316
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102152&vRoadID=46&vSurveyYear=2004&vSubdivID=316
