road	Z2036
km	8.885
type	Box Culvert
lrpName	LRP008k
name	Box Culvert
length	1.5
condition	A
structureNr	114672
est cost	0
roadName	Shibpur-Bannerbazar-Palas (Taltali) Road
chainage	8.885
width	5.4
constructionYear	2001
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	23.996694444444444
lon	90.70308333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114672&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114672&vRoadID=215&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114672&vRoadID=215&vSurveyYear=2004&vSubdivID=523
