road	Z1126
km	0.905
type	Box Culvert
lrpName	LRPSa
name	.
length	2.3
condition	A
structureNr	117762
est cost	0
roadName	Yangcha-Manikpur-Shantirbazar Road
chainage	0.905
width	4.3
constructionYear	2004
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.729527777777776
lon	92.15725
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117762&vRoadID=346&vSurveyYear=2006&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117762&vRoadID=346&vSurveyYear=2006&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117762&vRoadID=346&vSurveyYear=2006&vSubdivID=282
