road	Z1126
km	11.61
type	Box Culvert
lrpName	LRP011c
name	.
length	9
condition	A
structureNr	117771
est cost	0
roadName	Yangcha-Manikpur-Shantirbazar Road
chainage	11.61
width	4.8
constructionYear	2003
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.771805555555556
lon	92.086
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117771&vRoadID=346&vSurveyYear=2006&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117771&vRoadID=346&vSurveyYear=2006&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117771&vRoadID=346&vSurveyYear=2006&vSubdivID=282
