road	N206
km	0.928
type	Box Culvert
lrpName	LRPSb
name	NAYAR PUL
length	3
condition	B
structureNr	107451
est cost	0
roadName	Keean Bridge-Nayarpool Road
chainage	0.928
width	10
constructionYear	1965
spans	1
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Sylhet
lat	24.893944444444443
lon	91.87819444444443
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107451&vRoadID=14&vSurveyYear=2004&vSubdivID=801
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107451&vRoadID=14&vSurveyYear=2004&vSubdivID=801
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107451&vRoadID=14&vSurveyYear=2004&vSubdivID=801
