road	N206
km	0.533
type	Box Culvert
lrpName	LRPSa
name	NOYAR PUL
length	2.95
condition	A
structureNr	107454
est cost	0
roadName	Keean Bridge-Nayarpool Road
chainage	0.533
width	10
constructionYear	1968
spans	1
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Sylhet
lat	24.89236111111111
lon	91.875
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107454&vRoadID=14&vSurveyYear=2004&vSubdivID=801
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107454&vRoadID=14&vSurveyYear=2004&vSubdivID=801
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107454&vRoadID=14&vSurveyYear=2004&vSubdivID=801
