road	R160
km	64.674
type	Baily with Steel Deck
lrpName	LRP065b
name	BALIACHARI
length	44.2
condition	C
structureNr	104727
est cost	1.75
roadName	Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road
chainage	64.674
width	3.8
constructionYear	1975
spans	1
zone	Chittagong
circle	Khagrachari
division	Khagrachari
sub-division	Ramghar
lat	23.00075
lon	91.87180555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104727&vRoadID=81&vSurveyYear=2004&vSubdivID=566
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104727&vRoadID=81&vSurveyYear=2004&vSubdivID=566
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104727&vRoadID=81&vSurveyYear=2004&vSubdivID=566
