road	R160
km	3.796
type	Box Culvert
lrpName	LRP003d
name	CHARIA MADRASHA BOX CULVERT
length	8.6
condition	A
structureNr	109450
est cost	0
roadName	Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road
chainage	3.796
width	7.1
constructionYear	1968
spans	2
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.530805555555556
lon	91.80291666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109450&vRoadID=81&vSurveyYear=2004&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109450&vRoadID=81&vSurveyYear=2004&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109450&vRoadID=81&vSurveyYear=2004&vSubdivID=270
