road	R160
km	87.36
type	Baily with Steel Deck
lrpName	LRP088e
name	CHANGI BRIDGE
length	111
condition	A
structureNr	104823
est cost	0
roadName	Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road
chainage	87.36
width	3.6
constructionYear	1984
spans	3
zone	Chittagong
circle	Khagrachari
division	Khagrachari
sub-division	Khagrachari-1
lat	23.103333333333335
lon	91.96897222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104823&vRoadID=81&vSurveyYear=2004&vSubdivID=564
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104823&vRoadID=81&vSurveyYear=2004&vSubdivID=564
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104823&vRoadID=81&vSurveyYear=2004&vSubdivID=564
