road	R505
km	10.78
type	Box Culvert
lrpName	LRP010c
name	.
length	2.16
condition	A
structureNr	117857
est cost	0
roadName	Nabinagar-EPZ-Kaliakoir (Chandra) Road
chainage	10.78
width	15.18
constructionYear	1992
spans	1
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Nayarhat
lat	24.001833333333334
lon	90.25183333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117857&vRoadID=122&vSurveyYear=2006&vSubdivID=516
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117857&vRoadID=122&vSurveyYear=2006&vSubdivID=516
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117857&vRoadID=122&vSurveyYear=2006&vSubdivID=516
