road	R505
km	15.65
type	Box Culvert
lrpName	LRP015b
name	.
length	5.6
condition	A
structureNr	117860
est cost	0
roadName	Nabinagar-EPZ-Kaliakoir (Chandra) Road
chainage	15.65
width	16.4
constructionYear	1992
spans	1
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Nayarhat
lat	24.045555555555556
lon	90.23925
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117860&vRoadID=122&vSurveyYear=2006&vSubdivID=516
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117860&vRoadID=122&vSurveyYear=2006&vSubdivID=516
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117860&vRoadID=122&vSurveyYear=2006&vSubdivID=516
