road	Z5478
km	12.77
type	Slab Culvert
lrpName	LRP014b
name	.
length	2.6
condition	A
structureNr	116242
est cost	0
roadName	Akkelpur-Tilokpur-Santhahar Road
chainage	12.77
width	6
constructionYear	1990
spans	1
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.879277777777776
lon	89.00322222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=116242&vRoadID=656&vSurveyYear=2006&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=116242&vRoadID=656&vSurveyYear=2006&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=116242&vRoadID=656&vSurveyYear=2006&vSubdivID=305
