road	N106
km	30.903
type	Arch Masonry
lrpName	LRP032d
name	1ST CHEEK POST
length	1.2
condition	A
structureNr	108006
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	30.903
width	7.5
constructionYear	1979
spans	1
zone	Chittagong
circle	Rangamati
division	Rangamati
sub-division	Rangamati-1
lat	22.541500000000003
lon	91.97416666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108006&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108006&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108006&vRoadID=6&vSurveyYear=2004&vSubdivID=570
