road	N106
km	16.597
type	RCC Girder Bridge
lrpName	LRP018a
name	Sardargat Bridge
length	102.69
condition	C
structureNr	121097
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	16.597
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.5162222 
lon	91.8545278 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121097&vRoadID=6&vSurveyYear=2013&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121097&vRoadID=6&vSurveyYear=2013&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121097&vRoadID=6&vSurveyYear=2013&vSubdivID=270
