road	N106
km	51.573
type	Arch Masonry
lrpName	LRP053g
name	MOSH PARA ARCH MASONRY
length	6
condition	A
structureNr	108087
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	51.573
width	6.4
constructionYear	1975
spans	1
zone	Chittagong
circle	Rangamati
division	Rangamati
sub-division	Rangamati-1
lat	22.631444444444444
lon	92.11369444444443
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108087&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108087&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108087&vRoadID=6&vSurveyYear=2004&vSubdivID=570
