road	N106
km	20.609
type	Steel Beam & RCC Slab
lrpName	LRP022b
name	BOROPUR BRIDGE
length	24
condition	B
structureNr	107992
est cost	0.18
roadName	Chittagong-Hathazari-Rangamati Road
chainage	20.609
width	6.7
constructionYear	1985
spans	2
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.528888888888886
lon	91.87819444444443
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107992&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107992&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107992&vRoadID=6&vSurveyYear=2004&vSubdivID=270
